iter	RMSE
0	0.03538502723
1	0.03503147984
2	0.03459358634
3	0.03424972956
4	0.03382160793
5	0.03339883783
6	0.03298135235
7	0.03257930736
8	0.03208780225
9	0.03150791695
10	0.03111406798
11	0.03072514213
12	0.03036860506
13	0.0299889975
14	0.02961413502
15	0.02924395833
16	0.02887840884
17	0.02851742873
18	0.02816826883
19	0.02781616547
20	0.02743806274
21	0.02709508695
22	0.02685687618
23	0.02652116522
24	0.02612225974
25	0.02579573149
26	0.02547328484
27	0.02513272704
28	0.02480067415
29	0.02449066572
30	0.02412196427
31	0.0238349821
32	0.0234775541
33	0.02312490344
34	0.02275788059
35	0.02247340708
36	0.02219248948
37	0.02191508336
38	0.02165050144
39	0.02137987017
40	0.02107243045
41	0.02085726358
42	0.02053876489
43	0.02028203032
44	0.02002850494
45	0.01967334984
46	0.01942836959
47	0.01913897752
48	0.01889974029
49	0.01861806934
50	0.01834169831
51	0.01811242707
52	0.01788602173
53	0.01761963933
54	0.01739939383
55	0.01714176656
56	0.01688141286
57	0.01658769731
58	0.01638035109
59	0.0161755967
60	0.01597340174
61	0.01577373421
62	0.01557656253
63	0.0153818555
64	0.0151895823
65	0.01492670964
66	0.01474012577
67	0.0145558742
68	0.01437392576
69	0.01419425169
70	0.01398065342
71	0.01380589525
72	0.01363332156
73	0.01346290504
74	0.01329461872
75	0.01312843599
76	0.01296433053
77	0.0128022764
78	0.01264224794
79	0.01248421984
80	0.01232816709
81	0.012174065
82	0.01202188919
83	0.01187161557
84	0.01172322037
85	0.01157720758
86	0.01143249249
87	0.01128958633
88	0.0111484665
89	0.01100911066
90	0.01087149678
91	0.01073560307
92	0.01060140803
93	0.01046889042
94	0.01033802929
95	0.01020880392
96	0.01008119387
97	0.009955178948
98	0.009830739209
99	0.009707854967
100	0.009586506778
101	0.009466675442
102	0.009348341997
103	0.00923148772
104	0.009116094122
105	0.009002142944
106	0.008889616156
107	0.008778495952
108	0.008668764751
109	0.00856040519
110	0.008453400123
111	0.00834773262
112	0.008243385961
113	0.008140343635
114	0.008038589338
115	0.00793810697
116	0.007838880631
117	0.007740894622
118	0.007644133438
119	0.007548581768
120	0.007454224495
121	0.007361046687
122	0.007269033602
123	0.007178170681
124	0.007088443546
125	0.006999838
126	0.006912340024
127	0.006825935772
128	0.006740611574
129	0.006656353928
130	0.006573149503
131	0.006490985133
132	0.006409847817
133	0.006329724718
134	0.006250603158
135	0.006172470618
136	0.006095314734
137	0.006019123298
138	0.005943884256
139	0.005869585702
140	0.005796215879
141	0.00572376318
142	0.005652216139
143	0.005581563436
144	0.005511793892
145	0.005442896468
146	0.005374860261
147	0.005307674506
148	0.005241328574
149	0.005175811966
150	0.005111114315
151	0.005047225386
152	0.004984135067
153	0.004921833378
154	0.00486031046
155	0.004799556578
156	0.00473956212
157	0.004680317593
158	0.004621813622
159	0.004564040951
160	0.004506990438
161	0.004450653057
162	0.004395019893
163	0.004340082143
164	0.004285831116
165	0.004232258226
166	0.004179354997
167	0.004127113059
168	0.004075524145
169	0.004024580092
170	0.003974272841
171	0.003924594429
172	0.003875536998
173	0.003827092785
174	0.003779254124
175	0.003732013447
176	0.003685363278
177	0.003639296237
178	0.003593805033
179	0.00354888247
180	0.003504521438
181	0.003460714919
182	0.003417455982
183	0.003374737782
184	0.003332553559
185	0.003290896639
186	0.00324976043
187	0.003209138424
188	0.003169024193
189	0.00312941139
190	0.003090293747
191	0.003051665075
192	0.003013519261
193	0.00297585027
194	0.002938652141
195	0.002901918988
196	0.002865645
197	0.002829824437
198	0.002794451631
199	0.002759520986
200	0.002725026973
201	0.002690964135
202	0.002657327083
203	0.002624110494
204	0.002591309112
205	0.002558917748
206	0.002526931275
207	0.002495344634
208	0.002464152826
209	0.002433350915
210	0.002402934028
211	0.002372897352
212	0.002343236135
213	0.002313945683
214	0.002285021361
215	0.002256458594
216	0.002228252861
217	0.0022003997
218	0.002172894703
219	0.002145733519
220	0.00211891185
221	0.002092425451
222	0.002066270133
223	0.002040441755
224	0.002014936233
225	0.00198974953
226	0.00196487766
227	0.001940316689
228	0.00191606273
229	0.001892111946
230	0.001868460546
231	0.001845104789
232	0.001822040979
233	0.001799265466
234	0.001776774647
235	0.001754564964
236	0.001732632902
237	0.00171097499
238	0.001689587802
239	0.001668467955
240	0.001647612105
241	0.001627016953
242	0.001606679241
243	0.00158659575
244	0.001566763303
245	0.001547178761
246	0.001527839027
247	0.001508741038
248	0.001489881775
249	0.001471258253
250	0.001452867524
251	0.00143470668
252	0.001416772846
253	0.001399063185
254	0.001381574895
255	0.001364305209
256	0.001347251394
257	0.001330410751
258	0.001313780616
259	0.001297358358
260	0.001281141379
261	0.001265127111
262	0.001249313022
263	0.001233696609
264	0.001218275401
265	0.001203046958
266	0.001188008871
267	0.00117315876
268	0.001158494275
269	0.001144013097
270	0.001129712933
271	0.001115591521
272	0.001101646627
273	0.001087876044
274	0.001074277593
275	0.001060849123
276	0.001047588509
277	0.001034493652
278	0.001021562481
279	0.00100879295
280	0.0009961830379
281	0.0009837307497
282	0.0009714341151
283	0.0009592911885
284	0.0009473000485
285	0.0009354587977
286	0.0009237655626
287	0.0009122184929
288	0.0009008157615
289	0.0008895555643
290	0.0008784361196
291	0.000867455668
292	0.000856612472
293	0.0008459048159
294	0.0008353310055
295	0.0008248893678
296	0.0008145782506
297	0.0008043960223
298	0.0007943410718
299	0.0007844118083
